SRC,TGT,VOT
1075,1213,1
4920,1213,1
2576,1213,1
10117,1213,1
1606,1213,1
6578,1213,1
6971,1213,1
5430,1213,1
1105,1213,1
4467,1213,1
5205,1213,1
4400,1213,1
8526,1213,1
6340,1213,1
8880,1213,1
8209,1213,1
4470,1213,1
9987,1213,1
6784,1213,1
7783,1213,1
5577,1213,1
5685,1213,1
7755,1213,1
9738,1213,1
9842,1213,1
6555,1213,1
4139,1213,1
6608,1213,1
5162,1213,1
8346,1213,1
8095,1213,1
3035,1213,1
5586,1213,1
4517,1213,1
2949,1213,1
4409,1213,1
3904,1213,1
6342,1213,1
4771,1213,1
5425,1213,1
5708,1213,1
1346,1213,1
7603,1213,1
9857,1213,1
6648,1213,1
6693,1213,1
6718,1213,1
10753,1213,1
8242,1213,1
2363,1213,1
9269,1213,1
10973,1213,1
7045,1213,1
2316,1213,1
7119,1213,1
2232,1213,1
6007,1213,1
7120,1213,1
4892,1213,1
3860,1213,1
7231,1213,1
8578,1213,1
786,1213,1
9172,1213,1
291,1213,1
4854,1213,1
8672,1213,1
10110,1213,1
1090,1213,1
4587,1213,1
9084,1213,1
4287,1213,1
1015,1213,1
6992,1213,1
2377,1213,1
5458,1213,1
115,1213,1
6882,1213,1
6640,1213,1
4598,1213,1
5663,1213,1
8143,1213,1
354,1213,1
10169,1213,1
1312,1213,1
10533,1213,1
9168,1213,1
9577,1213,1
2764,1213,1
10128,1213,1
8333,1213,1
3870,1213,1
6135,1213,1
5994,1213,1
7493,1213,1
2395,1213,1
8174,1213,1
2060,1213,-1
5761,1213,-1
943,1213,0
5051,2462,1
5263,2462,1
6007,2462,1
8095,2462,1
10038,2462,1
5910,2462,1
4002,2462,1
9857,2462,1
3720,2462,1
4467,2462,1
365,2462,1
10783,2462,1
5281,2462,1
5565,2462,1
8740,2462,1
7966,2462,1
1312,2462,1
2392,2462,1
7176,2462,1
7133,2462,1
9872,2462,1
5205,2462,1
7548,2462,1
5152,2462,1
8858,2462,1
9745,2462,1
3435,2462,1
5831,2462,1
6902,2462,1
1515,2462,1
10533,2462,1
6519,2462,1
4139,2462,1
1731,2462,1
10553,2462,1
4423,2462,1
889,2462,1
3860,2462,1
8659,2462,1
10704,2462,1
8708,2462,1
10723,2462,1
10117,2462,1
8671,2462,1
9494,2462,1
5261,2462,1
5548,2462,1
2302,2462,1
1727,2462,1
6971,2462,1
5869,2462,1
393,2462,1
9169,2462,1
5586,2462,1
9576,2462,1
8380,2462,1
5027,2462,1
4490,2462,1
8174,2462,1
8806,2462,1
9069,2462,1
6442,2462,1
248,2462,1
9168,2462,1
9833,2462,1
7649,2462,1
2764,2462,1
9248,2462,1
6693,2462,1
9231,2462,1
9017,2462,1
9046,2462,1
10079,2462,1
6339,2462,1
9363,2462,1
4587,2462,1
9560,2462,1
3564,2462,1
7154,2462,1
145,2462,1
7449,2462,1
2017,2462,1
8070,2462,1
2424,2462,1
6069,2462,1
3754,2462,1
5994,2462,1
5355,2462,1
4419,2462,1
1562,2462,1
10624,2462,1
3916,2462,1
10209,2462,1
95,2462,1
866,2462,1
8213,2462,1
8672,2462,1
10206,2462,1
2617,2462,1
10869,2462,1
5425,2462,1
1462,2462,1
5576,2462,1
4087,2462,1
8333,2462,1
8437,2462,1
3870,2462,1
3765,2462,1
2687,2462,-1
2630,2462,-1
10046,2462,-1
5046,2462,-1
1544,2462,-1
2060,2462,-1
905,2462,-1
4598,2462,-1
9843,2462,-1
943,2462,-1
8984,2462,-1
582,2462,-1
6784,2462,-1
1233,2462,-1
1356,2462,-1
7725,2462,-1
3910,2462,-1
502,2462,-1
6718,2462,-1
7026,2462,-1
8775,2462,-1
11151,2462,-1
8232,2462,-1
3244,2462,-1
1621,2462,-1
4522,2462,-1
597,2462,-1
6602,2462,-1
7302,2462,-1
2611,2462,-1
9758,2462,0
3969,2462,0
9084,2462,0
5572,2462,0
9663,2462,0
9903,2462,0
4854,2462,0
5790,2462,0
9955,4467,1
8380,4467,1
6663,4467,1
5425,4467,1
10038,4467,1
1515,4467,1
1462,4467,1
5831,4467,1
2630,4467,1
10895,4467,1
4139,4467,1
4892,4467,1
3435,4467,1
1969,4467,1
6339,4467,1
905,4467,1
9248,4467,1
3754,4467,1
7176,4467,1
9172,4467,1
6519,4467,1
4815,4467,1
9469,4467,1
9084,4467,1
1410,4467,1
11361,4467,1
9494,4467,1
5586,4467,1
1356,4467,1
357,4467,1
10281,4467,1
2675,4467,1
5572,4467,1
10533,4467,1
4587,4467,1
4219,4467,1
1214,4467,1
6608,4467,1
3293,4467,1
566,4467,1
9990,4467,1
4277,4467,1
8880,4467,1
8708,4467,1
7649,4467,1
1792,4467,1
10723,4467,1
6319,4467,1
7231,4467,1
6693,4467,1
10110,4467,1
5027,4467,1
2764,4467,1
7783,4467,1
3553,4467,1
283,4467,1
10117,4467,1
8346,4467,1
9745,4467,1
680,4467,1
8177,4467,1
3765,4467,1
6128,4467,1
10128,4467,1
4652,4467,1
7614,4467,1
5994,4467,1
9168,4467,1
9560,4467,1
3244,4467,1
83,4467,1
5565,4467,1
10553,4467,1
3860,4467,1
8333,4467,1
9891,4467,1
9231,4467,1
10079,4467,1
7603,4467,1
6069,4467,1
2363,4467,1
115,4467,1
5663,4467,1
3910,4467,1
4799,4467,1
9857,4467,1
9269,4467,1
11070,4467,1
3900,4467,1
9427,4467,1
9145,4467,1
1562,4467,1
6582,4467,1
2424,4467,1
291,4467,1
5205,4467,1
7966,4467,1
2232,4467,1
8143,4467,1
10114,4467,1
5430,4467,1
1544,4467,-1
943,4467,-1
9421,4467,-1
137,4467,-1
8471,4467,-1
4585,4467,-1
8775,4467,-1
6882,4467,-1
1731,4467,0
2424,4831,1
7783,4831,1
905,4831,1
10783,4831,1
7133,4831,1
1551,4831,1
8380,4831,1
9054,4831,1
5591,4831,1
3435,4831,1
10200,4831,1
5425,4831,1
8333,4831,1
5831,4831,1
5027,4831,1
6519,4831,1
10305,4831,1
5999,4831,1
2363,4831,1
5576,4831,1
4892,4831,1
7922,4831,1
1731,4831,1
5720,4831,1
2462,4831,1
4293,4831,1
6319,4831,1
9226,4831,1
5565,4831,1
6971,4831,1
7623,4831,1
8143,4831,1
365,4831,1
7649,4831,1
9168,4831,1
7548,4831,1
1636,4831,1
3224,4831,1
8168,4831,1
8862,4831,1
2764,4831,1
5586,4831,1
10553,4831,1
3427,4831,1
1562,4831,1
9908,4831,1
5263,4831,1
7154,4831,1
10723,4831,1
8511,4831,1
2630,4831,1
10110,4831,1
4139,4831,1
9560,4831,1
8525,4831,1
5989,4831,1
1983,4831,1
7176,4831,1
6187,4831,1
283,4831,1
9248,4831,1
6784,4831,1
1356,4831,1
4174,4831,1
1233,4831,1
1736,4831,1
1606,4831,1
3765,4831,1
239,4831,1
3508,4831,1
3202,4831,1
393,4831,1
7024,4831,1
5708,4831,1
5560,4831,1
7526,4831,1
10250,4831,1
5188,4831,1
291,4831,1
860,4831,1
6662,4831,1
9269,4831,1
1857,4831,1
8195,4831,1
6147,4831,1
8991,4831,1
1561,4831,1
1515,4831,1
676,4831,1
5360,4831,1
9663,4831,1
10539,4831,1
7231,4831,1
3840,4831,1
9293,4831,1
4637,4831,1
9745,4831,1
6882,4831,1
2894,4831,1
8708,4831,1
3691,4831,1
357,4831,1
69,4831,1
3870,4831,1
4219,4831,1
134,4831,1
354,4831,1
8806,4831,1
10281,4831,1
10117,4831,1
8880,4831,1
4343,4831,1
7493,4831,1
4066,4831,1
566,4831,1
6992,4831,1
2346,4831,1
1462,4831,1
9891,4831,1
3973,4831,1
8249,4831,1
4585,4831,1
8070,4831,1
2057,4831,1
6069,4831,1
443,4831,1
9859,4831,1
1879,4831,1
5869,4831,1
6663,4831,1
7302,4831,1
5443,4831,1
4799,4831,1
5994,4831,1
6005,4831,1
3754,4831,1
5434,4831,1
5823,4831,1
6362,4831,-1
4587,4831,-1
1544,4831,-1
10935,4831,-1
3860,4831,-1
6340,4831,-1
9875,4831,-1
8095,4831,-1
5548,4831,-1
4467,4831,-1
1410,4831,-1
9084,4831,-1
5730,4831,-1
670,4831,-1
10533,4831,-1
4007,4831,-1
6578,4831,-1
7725,4831,-1
6608,4831,-1
1075,4831,-1
4718,4831,-1
7704,4831,-1
83,4831,-1
5205,4831,-1
8177,4831,-1
10038,4831,-1
5972,4831,-1
943,4831,-1
9427,4831,-1
6210,4831,0
5910,4831,0
10973,4831,0
3910,4831,0
5572,4831,0
5051,4831,0
7150,4831,0
9017,4831,0
8232,4831,0
9145,4831,0
0,4831,0
0,4831,0
9494,4831,0
6128,4831,0
8250,4831,0
4854,4831,0
4835,5720,1
8380,5720,1
10723,5720,1
2002,5720,1
9663,5720,1
3174,5720,1
10533,5720,1
2363,5720,1
6007,5720,1
5989,5720,1
11190,5720,1
5162,5720,1
4139,5720,1
4467,5720,1
5586,5720,1
9987,5720,1
6693,5720,1
10895,5720,1
5425,5720,1
1562,5720,1
630,5720,1
2630,5720,1
8095,5720,1
20,5720,1
9306,5720,1
8708,5720,1
11131,5720,1
6280,5720,1
905,5720,1
8084,5720,1
5027,5720,1
3860,5720,1
8315,5720,1
6971,5720,1
7725,5720,1
9792,5720,1
4752,5720,1
7587,5720,1
9677,5720,1
2022,5720,1
4437,5720,1
5458,5720,1
9231,5720,1
6519,5720,1
5831,5720,1
1795,5720,1
6578,5720,1
7857,5720,1
9084,5720,1
7501,5720,1
9293,5720,1
9936,5720,1
3923,5720,1
3367,5720,1
10783,5720,1
10603,5720,1
1656,5720,1
4121,5720,1
8127,5720,1
6101,5720,1
5261,5720,1
6293,5720,1
1356,5720,1
5577,5720,1
7783,5720,1
162,5720,1
1631,5720,1
532,5720,1
6882,5720,1
750,5720,1
5560,5720,1
7669,5720,1
959,5720,1
10128,5720,1
9471,5720,1
1879,5720,1
8980,5720,1
8346,5720,1
8134,5720,1
9469,5720,1
0,5720,1
8256,5720,1
5438,5720,1
5572,5720,1
7674,5720,1
9560,5720,1
1176,5720,1
8526,5720,1
1659,5720,1
4409,5720,1
6319,5720,1
157,5720,1
7548,5720,1
9857,5720,1
2316,5720,1
10281,5720,1
4470,5720,1
9042,5720,1
9843,5720,1
4771,5720,1
4892,5720,1
9046,5720,1
9824,5720,1
2638,5720,1
8775,5720,1
10110,5720,1
786,5720,1
9054,5720,1
9421,5720,1
6784,5720,1
5351,5720,1
10973,5720,1
7623,5720,1
283,5720,1
8672,5720,1
5994,5720,1
5565,5720,1
9269,5720,1
3910,5720,1
1182,5720,1
9145,5720,1
10935,5720,1
2822,5720,1
8174,5720,1
8333,5720,1
7467,5720,1
2414,5720,1
10117,5720,1
4184,5720,1
3203,5720,1
2764,5720,1
8143,5720,1
5397,5720,1
4561,5720,1
1484,5720,1
6257,5720,1
7922,5720,1
8077,5720,1
9240,5720,1
291,5720,1
6603,5720,1
6718,5720,1
4587,5720,1
10753,5720,1
11375,5720,1
147,5720,1
3075,5720,1
7231,5720,1
8662,5720,1
10704,5720,-1
2060,5720,-1
11063,5720,-1
6984,5720,0
943,5720,0
8242,5720,0
2902,5720,0
9248,5869,1
4139,5869,1
7154,5869,1
1795,5869,1
2424,5869,1
7133,5869,1
4815,5869,1
3910,5869,1
4467,5869,1
9745,5869,1
905,5869,1
4892,5869,1
8437,5869,1
5425,5869,1
5051,5869,1
9698,5869,1
8380,5869,1
10539,5869,1
9421,5869,1
3035,5869,1
1562,5869,1
437,5869,1
2143,5869,1
7808,5869,1
5586,5869,1
10895,5869,1
6147,5869,1
4219,5869,1
670,5869,1
9363,5869,1
2017,5869,1
4626,5869,1
5565,5869,1
8332,5869,1
3958,5869,1
8084,5869,1
1631,5869,1
162,5869,1
4854,5869,1
10022,5869,1
5989,5869,1
5720,5869,1
7725,5869,1
4587,5869,1
10723,5869,1
393,5869,1
283,5869,1
6718,5869,1
3562,5869,1
8232,5869,1
8095,5869,1
10524,5869,1
5576,5869,1
1731,5869,1
7783,5869,1
9168,5869,1
9084,5869,1
9663,5869,1
10038,5869,1
9145,5869,1
6319,5869,1
1462,5869,1
9231,5869,1
8918,5869,1
3244,5869,1
3435,5869,1
6693,5869,1
2395,5869,1
3860,5869,1
1857,5869,1
6663,5869,1
10604,5869,1
9293,5869,1
9857,5869,1
7623,5869,1
10783,5869,1
8250,5869,1
5994,5869,1
3504,5869,1
8524,5869,1
6608,5869,1
8333,5869,1
2876,5869,1
8880,5869,1
10281,5869,1
5458,5869,1
6582,5869,1
4835,5869,1
2346,5869,1
4343,5869,1
10533,5869,1
6932,5869,1
10553,5869,1
8143,5869,1
1606,5869,1
943,5869,1
5831,5869,1
5560,5869,1
7176,5869,1
7309,5869,1
6056,5869,1
7526,5869,1
10079,5869,1
8708,5869,1
6519,5869,1
9955,5869,1
9469,5869,1
9990,5869,1
7966,5869,1
9936,5869,1
6423,5869,1
8418,5869,1
11361,5869,1
4083,5869,1
6992,5869,1
1122,5869,1
7548,5869,1
865,5869,1
8671,5869,1
4007,5869,1
9269,5869,1
8372,5869,1
5704,5869,1
10664,5869,1
4066,5869,1
4799,5869,1
5730,5869,1
2462,5869,1
10603,5869,1
6069,5869,1
6971,5869,1
443,5869,1
8740,5869,1
9388,5869,1
6578,5869,1
5572,5869,1
3427,5869,1
2764,5869,1
10117,5869,-1
8525,5869,-1
6784,5869,-1
5046,5869,-1
2630,5869,-1
1983,5869,-1
3830,5869,-1
6882,5869,-1
4858,5869,-1
502,5869,-1
1792,5869,-1
5205,5869,-1
4402,5869,-1
9494,5869,0
4598,5869,0
9875,5869,0
9720,6266,1
7238,6266,1
6693,6266,1
7159,6266,1
5458,6266,1
3765,6266,1
8708,6266,1
2341,6266,1
5577,6266,1
10746,6266,1
6340,6266,1
4437,6266,1
905,6266,1
2363,6266,1
8380,6266,1
10603,6266,1
3366,6266,1
5205,6266,1
9346,6266,1
5586,6266,1
10539,6266,1
8526,6266,1
4892,6266,1
3860,6266,1
4139,6266,1
10200,6266,1
1540,6266,1
2630,6266,1
943,6266,1
1356,6266,1
3562,6266,1
7783,6266,1
8437,6266,1
4721,6266,1
5027,6266,1
6520,6266,1
9017,6266,1
1312,6266,1
20,6266,1
4854,6266,1
10533,6266,1
9231,6266,1
4587,6266,1
6578,6266,1
9987,6266,1
6608,6266,1
8672,6266,1
6971,6266,1
572,6266,1
1731,6266,1
5430,6266,1
9168,6266,1
5831,6266,1
8242,6266,1
9471,6266,1
8333,6266,1
9248,6266,1
9084,6266,1
7704,6266,1
283,6266,1
9306,6266,1
6519,6266,1
5945,6266,1
10110,6266,1
1606,6266,1
9745,6266,1
5360,6266,1
2715,6266,1
1075,6266,1
3910,6266,1
3973,6266,1
1507,6266,1
3861,6266,1
2796,6266,1
8512,6266,1
1462,6266,1
162,6266,1
7966,6266,1
5994,6266,1
4626,6266,1
6784,6266,1
10479,6266,1
1090,6266,1
8806,6266,1
7603,6266,1
7755,6266,1
10753,6266,1
9145,6266,1
7160,6266,1
4947,6266,1
291,6266,1
8980,6266,1
1250,6266,1
8346,6266,1
4121,6266,1
1965,6266,1
5565,6266,1
2057,6266,1
10839,6266,1
443,6266,1
2764,6266,1
630,6266,1
6882,6266,-1
0,6266,-1
5425,6266,-1
0,6266,-1
2316,6266,-1
9473,6266,-1
4470,6266,-1
4598,6266,-1
2022,6266,0
6750,6266,0
10117,6266,0
5572,6266,0
4139,6519,1
5051,6519,1
5434,6519,1
9738,6519,1
6582,6519,1
9306,6519,1
6147,6519,1
5831,6519,1
1928,6519,1
9248,6519,1
9469,6519,1
972,6519,1
1515,6519,1
2675,6519,1
9269,6519,1
9084,6519,1
5586,6519,1
7603,6519,1
9427,6519,1
1356,6519,1
1462,6519,1
10079,6519,1
10117,6519,1
103,6519,1
3916,6519,1
4892,6519,1
4652,6519,1
8708,6519,1
7966,6519,1
4585,6519,1
3754,6519,1
5205,6519,1
6128,6519,1
3202,6519,1
2576,6519,1
5560,6519,1
7783,6519,1
2363,6519,1
3127,6519,1
8333,6519,1
5548,6519,1
2630,6519,1
9231,6519,1
10928,6519,1
7176,6519,1
10034,6519,1
4467,6519,1
10723,6519,1
3435,6519,1
8143,6519,1
750,6519,1
4455,6519,1
145,6519,1
5565,6519,1
7725,6519,1
2023,6519,1
1731,6519,1
6578,6519,1
6319,6519,1
4587,6519,1
6649,6519,1
7548,6519,1
5027,6519,1
670,6519,1
6693,6519,1
5994,6519,1
10038,6519,1
1879,6519,1
9745,6519,1
2715,6519,1
2020,6519,1
3564,6519,1
9054,6519,1
4219,6519,1
7420,6519,1
10169,6519,1
10110,6519,1
6739,6519,1
5572,6519,1
5443,6519,1
115,6519,1
1857,6519,1
5708,6519,1
8070,6519,1
3910,6519,-1
2316,6519,-1
905,6519,-1
8775,6519,-1
10704,6519,-1
5425,6519,-1
9494,6519,-1
3860,6519,-1
4598,6519,-1
5355,6519,-1
5430,6519,-1
9168,6519,-1
7649,6519,-1
3244,6519,-1
943,6519,-1
10649,6519,-1
2060,6519,-1
8525,6519,-1
4343,6519,-1
2611,6519,-1
6155,6519,-1
4402,6519,-1
3900,6519,-1
1544,6519,-1
9226,6519,0
8243,6519,0
11151,6519,0
9891,6519,0
9473,6519,0
1012,6519,0
10895,6519,0
4467,6578,1
10935,6578,1
8095,6578,1
10200,6578,1
2576,6578,1
6718,6578,1
5586,6578,1
905,6578,1
9084,6578,1
3224,6578,1
3867,6578,1
9494,6578,1
2905,6578,1
9306,6578,1
9987,6578,1
5027,6578,1
9594,6578,1
7045,6578,1
7548,6578,1
9471,6578,1
8380,6578,1
4587,6578,1
10753,6578,1
2363,6578,1
2022,6578,1
6519,6578,1
5458,6578,1
10533,6578,1
7231,6578,1
4409,6578,1
9145,6578,1
4892,6578,1
6693,6578,1
8209,6578,1
6427,6578,1
2630,6578,1
20,6578,1
3367,6578,1
10603,6578,1
5831,6578,1
3910,6578,1
6101,6578,1
5565,6578,1
8333,6578,1
532,6578,1
8660,6578,1
1607,6578,1
750,6578,1
1364,6578,1
10360,6578,1
3860,6578,1
9986,6578,1
7674,6578,1
9891,6578,1
9663,6578,1
5046,6578,1
8242,6578,1
1356,6578,1
6582,6578,1
9745,6578,1
8346,6578,1
5577,6578,1
943,6578,1
2060,6578,1
6319,6578,1
9700,6578,1
8174,6578,1
2715,6578,1
10117,6578,1
8186,6578,1
6340,6578,1
6135,6578,1
5720,6578,1
6520,6578,1
6449,6578,1
291,6578,1
1879,6578,1
8437,6578,1
10973,6578,1
5572,6578,1
10128,6578,1
9231,6578,1
1753,6578,1
3870,6578,1
7816,6578,1
8193,6578,1
9990,6578,1
9248,6578,1
8143,6578,1
6128,6578,1
5205,6578,1
1462,6578,1
162,6578,1
9076,6578,1
1544,6578,1
5994,6578,1
103,6578,1
1312,6578,1
10723,6578,1
9017,6578,1
9021,6578,1
5790,6578,1
10169,6578,1
4763,6578,1
710,6578,-1
2414,6578,0
1731,6578,0
3910,7151,1
9560,7151,1
4587,7151,1
9469,7151,1
9231,7151,1
9663,7151,1
4467,7151,1
502,7151,1
2630,7151,1
5586,7151,1
10257,7151,1
1356,7151,1
2057,7151,1
905,7151,1
10110,7151,1
2022,7151,1
6971,7151,1
8708,7151,1
959,7151,1
8242,7151,1
1879,7151,1
6519,7151,1
6319,7151,1
3244,7151,1
9168,7151,1
6575,7151,1
7603,7151,1
9306,7151,1
9987,7151,1
6340,7151,1
4892,7151,1
5354,7151,1
7548,7151,1
6007,7151,1
8928,7151,1
9269,7151,1
6449,7151,1
10935,7151,1
4652,7151,1
3504,7151,1
145,7151,1
1731,7151,1
2715,7151,1
10117,7151,1
6693,7151,1
4799,7151,1
6663,7151,1
9955,7151,1
943,7151,1
1606,7151,1
5994,7151,1
5027,7151,1
566,7151,1
5577,7151,1
9084,7151,1
1090,7151,1
8084,7151,1
7966,7151,1
10603,7151,1
7783,7151,1
8734,7151,1
8333,7151,1
8980,7151,1
4859,7151,1
6060,7151,1
5903,7151,1
5790,7151,1
2764,7151,1
3870,7151,1
7420,7151,1
10281,7151,1
4634,7151,1
1364,7151,1
9145,7151,1
9337,7151,1
1410,7151,1
10169,7151,1
9226,7151,1
0,7151,-1
5704,7151,0
8775,7151,0
1225,7151,0
5003,7203,1
8708,7203,1
5425,7203,1
5046,7203,1
6641,7203,1
5831,7203,1
6007,7203,1
905,7203,1
2424,7203,1
1795,7203,1
8249,7203,1
8095,7203,1
9469,7203,1
7133,7203,1
9248,7203,1
9875,7203,1
9084,7203,1
7622,7203,1
9231,7203,1
8524,7203,1
5586,7203,1
2576,7203,1
9857,7203,1
9700,7203,1
10038,7203,1
1312,7203,1
9017,7203,1
6147,7203,1
6519,7203,1
10117,7203,1
7176,7203,1
3910,7203,1
6442,7203,1
566,7203,1
5910,7203,1
5869,7203,1
10539,7203,1
6971,7203,1
4139,7203,1
6718,7203,1
1731,7203,1
5458,7203,1
6056,7203,1
10624,7203,1
10895,7203,1
2876,7203,1
4587,7203,1
3235,7203,1
9903,7203,1
6030,7203,1
9560,7203,1
4858,7203,1
7725,7203,1
8084,7203,1
3564,7203,1
7154,7203,1
365,7203,1
7397,7203,1
5823,7203,1
9293,7203,1
5690,7203,1
676,7203,1
145,7203,1
10331,7203,1
9663,7203,1
5720,7203,1
6449,7203,1
10935,7203,1
9990,7203,1
3860,7203,1
3870,7203,1
9463,7203,1
6663,7203,1
2184,7203,1
9169,7203,1
9824,7203,1
7101,7203,1
8193,7203,1
8001,7203,1
9363,7203,1
5027,7203,1
2316,7203,1
4859,7203,1
4064,7203,1
5355,7203,1
1540,7203,1
9168,7203,1
7614,7203,1
786,7203,1
1356,7203,1
3916,7203,1
1562,7203,1
1075,7203,1
4854,7203,1
8525,7203,1
6069,7203,1
5560,7203,1
5440,7203,1
0,7203,1
1857,7203,1
11151,7203,1
6693,7203,1
5162,7203,1
8213,7203,1
9269,7203,1
10206,7203,1
9145,7203,1
8740,7203,1
10079,7203,1
7966,7203,1
10956,7203,1
8333,7203,1
5565,7203,1
8437,7203,1
2630,7203,1
2611,7203,1
3482,7203,1
3721,7203,1
5205,7203,1
393,7203,1
1201,7203,1
10324,7203,1
8884,7203,1
6155,7203,1
7656,7203,1
8174,7203,1
10723,7203,1
8984,7203,1
6181,7203,1
7755,7203,1
11055,7203,1
291,7203,1
1544,7203,1
10370,7203,1
5790,7203,1
1631,7203,1
3009,7203,1
8269,7203,1
9494,7203,1
6204,7203,1
8346,7203,1
5572,7203,1
10128,7203,1
637,7203,1
8584,7203,1
1922,7203,1
5051,7203,1
6992,7203,1
5188,7203,1
2764,7203,1
10281,7203,1
7231,7203,1
8374,7203,1
9955,7203,1
8928,7203,1
3973,7203,1
3904,7203,1
11361,7203,1
6649,7203,1
3995,7203,1
7603,7203,1
2302,7203,1
4634,7203,1
4087,7203,1
7420,7203,1
4467,7203,1
9776,7203,1
10046,7203,-1
943,7203,-1
2017,7203,-1
7704,7203,-1
9677,7203,0
3910,7501,1
2715,7501,1
5027,7501,1
7857,7501,1
8315,7501,1
5355,7501,1
2022,7501,1
7045,7501,1
5458,7501,1
4587,7501,1
5586,7501,1
6319,7501,1
10753,7501,1
9471,7501,1
9084,7501,1
6971,7501,1
2363,7501,1
8380,7501,1
7674,7501,1
2461,7501,1
9145,7501,1
750,7501,1
2576,7501,1
6693,7501,1
4892,7501,1
943,7501,1
8775,7501,1
8095,7501,1
2630,7501,1
9231,7501,1
10973,7501,1
20,7501,1
4598,7501,1
7101,7501,1
5548,7501,1
905,7501,1
7513,7501,1
1356,7501,1
8143,7501,1
1101,7501,1
9698,7501,1
2122,7501,1
6519,7501,1
5577,7501,1
9663,7501,1
4467,7501,1
9987,7501,1
5994,7501,1
3860,7501,1
7725,7501,1
8242,7501,1
1795,7501,1
7755,7501,1
4437,7501,1
4219,7501,1
7493,7501,1
3367,7501,1
10603,7501,1
6101,7501,1
4121,7501,1
6293,7501,1
8862,7501,1
7783,7501,1
1731,7501,1
10723,7501,1
8346,7501,1
9469,7501,1
5572,7501,1
9560,7501,1
1176,7501,1
8174,7501,1
6750,7501,1
2316,7501,1
6174,7501,1
6578,7501,1
6520,7501,1
115,7501,1
5565,7501,1
9269,7501,1
8806,7501,1
4343,7501,1
9046,7501,1
8333,7501,1
9042,7501,1
10117,7501,1
2092,7501,1
10169,7501,1
2764,7501,1
10553,7501,1
2905,7501,-1
5425,7501,-1
8671,7501,-1
8708,7501,-1
11063,7501,-1
6882,7501,-1
9306,7501,-1
6784,7501,-1
10128,7501,0
1879,7501,0
1012,7501,0
3508,8315,1
3910,8315,1
4634,8315,1
7045,8315,1
9560,8315,1
905,8315,1
9306,8315,1
393,8315,1
5644,8315,1
4467,8315,1
5360,8315,1
3035,8315,1
2060,8315,1
8095,8315,1
5831,8315,1
8980,8315,1
3860,8315,1
5263,8315,1
2363,8315,1
4083,8315,1
10553,8315,1
5261,8315,1
8077,8315,1
9240,8315,1
532,8315,1
10603,8315,1
5586,8315,1
6693,8315,1
10533,8315,1
7176,8315,1
6319,8315,1
2022,8315,1
5994,8315,1
9231,8315,1
4437,8315,1
0,8315,1
6663,8315,1
9226,8315,1
7548,8315,1
10038,8315,1
1356,8315,1
8708,8315,1
959,8315,1
5548,8315,1
145,8315,1
3562,8315,1
3518,8315,1
7603,8315,1
9473,8315,1
9269,8315,1
